,year,Tave MIR,Tave MPI,Tave NOR,Tmax,Tmax.1,Tmax.2,Tmin,Tmin.1,Tmin.2,city
61,2011-01-01,16.7,16.7,16.7,21.0,21.0,21.0,12.9,12.9,12.9,Charleroi
62,2012-01-01,17.7,17.7,17.7,22.2,22.2,22.2,13.9,13.9,13.9,Charleroi
63,2013-01-01,18.8,18.8,18.8,23.4,23.4,23.4,14.5,14.5,14.5,Charleroi
64,2014-01-01,17.4,17.4,17.4,21.5,21.5,21.5,13.8,13.8,13.8,Charleroi
65,2015-01-01,19.0,19.0,19.0,24.0,24.0,24.0,14.4,14.4,14.4,Charleroi
66,2016-01-01,18.5,18.5,18.5,22.6,22.6,22.6,14.9,14.9,14.9,Charleroi
67,2017-01-01,19.5,19.5,19.5,24.2,24.2,24.2,15.1,15.1,15.1,Charleroi
68,2018-01-01,20.2,20.2,20.2,25.1,25.1,25.1,15.6,15.6,15.6,Charleroi
69,2019-01-01,20.1,20.1,20.1,25.3,25.3,25.3,15.2,15.2,15.2,Charleroi
70,2020-01-01,19.2,19.2,19.2,23.9,23.9,23.9,15.0,15.0,15.0,Charleroi
71,2021-01-01,17.9,17.9,17.9,21.7,21.7,21.7,14.5,14.5,14.5,Charleroi
72,2022-01-01,20.4,20.4,20.4,25.6,25.6,25.6,15.2,15.2,15.2,Charleroi
73,2023-01-01,19.3870967741936,18.1064516129032,18.4322580645161,23.9967741935484,22.5516129032258,22.9451612903226,15.058064516129,14.0677419354839,14.4870967741935,Charleroi
74,2024-01-01,18.2870967741936,21.5064516129032,16.4322580645161,22.4967741935484,26.1516129032258,20.2451612903226,14.558064516129,16.9677419354839,13.1870967741935,Charleroi
75,2025-01-01,17.2870967741936,19.9064516129032,18.5322580645161,21.4967741935484,24.6516129032258,23.0451612903226,13.258064516129,15.4677419354839,14.0870967741935,Charleroi
76,2026-01-01,19.6870967741936,18.9064516129032,16.7322580645161,24.1967741935484,23.4516129032258,20.6451612903226,15.758064516129,14.6677419354839,13.3870967741935,Charleroi
77,2027-01-01,17.3870967741936,17.3064516129032,18.9322580645161,21.7967741935484,21.5516129032258,23.3451612903226,13.558064516129,13.3677419354839,14.7870967741935,Charleroi
78,2028-01-01,18.0870967741936,16.2064516129032,18.0322580645161,22.4967741935484,20.0516129032258,22.3451612903226,14.158064516129,12.9677419354839,13.9870967741935,Charleroi
79,2029-01-01,19.3870967741936,18.4064516129032,18.2322580645161,23.8967741935484,23.1516129032258,22.2451612903226,15.358064516129,14.0677419354839,14.5870967741935,Charleroi
80,2030-01-01,19.4870967741936,19.1064516129032,17.4322580645161,23.9967741935484,24.0516129032258,21.6451612903226,15.358064516129,14.4677419354839,13.6870967741935,Charleroi
81,2031-01-01,18.4870967741936,19.8064516129032,18.5322580645161,23.1967741935484,24.6516129032258,22.7451612903226,14.158064516129,15.1677419354839,14.4870967741935,Charleroi
82,2032-01-01,18.9870967741936,20.1064516129032,18.2322580645161,23.3967741935484,24.7516129032258,22.7451612903226,14.958064516129,15.6677419354839,13.8870967741935,Charleroi
83,2033-01-01,18.6870967741936,17.3064516129032,19.8322580645161,23.2967741935484,21.2516129032258,24.5451612903226,14.558064516129,13.8677419354839,15.5870967741935,Charleroi
84,2034-01-01,19.4870967741936,20.2064516129032,17.1322580645161,23.8967741935484,25.1516129032258,20.9451612903226,15.258064516129,15.7677419354839,13.8870967741935,Charleroi
85,2035-01-01,19.5870967741936,17.3064516129032,18.5322580645161,24.0967741935484,21.5516129032258,23.0451612903226,15.458064516129,13.7677419354839,14.1870967741935,Charleroi
86,2036-01-01,18.7870967741936,18.2064516129032,20.4322580645161,23.2967741935484,22.3516129032258,25.0451612903226,14.658064516129,14.5677419354839,15.9870967741935,Charleroi
87,2037-01-01,19.0870967741936,18.1064516129032,18.7322580645161,23.1967741935484,22.4516129032258,23.0451612903226,15.258064516129,14.2677419354839,14.5870967741935,Charleroi
88,2038-01-01,18.7870967741936,17.5064516129032,18.2322580645161,22.9967741935484,21.9516129032258,22.3451612903226,14.858064516129,13.6677419354839,14.5870967741935,Charleroi
89,2039-01-01,19.2870967741936,17.6064516129032,18.7322580645161,23.6967741935484,21.9516129032258,23.1451612903226,15.458064516129,13.8677419354839,14.6870967741935,Charleroi
90,2040-01-01,19.2870967741936,18.0064516129032,16.3322580645161,23.7967741935484,22.4516129032258,20.1451612903226,15.258064516129,13.8677419354839,12.9870967741935,Charleroi
91,2041-01-01,20.0870967741936,20.0064516129032,17.5322580645161,24.8967741935484,25.1516129032258,21.9451612903226,15.658064516129,14.7677419354839,13.7870967741935,Charleroi
92,2042-01-01,18.4870967741936,18.8064516129032,17.3322580645161,22.9967741935484,23.4516129032258,21.3451612903226,14.558064516129,14.7677419354839,13.4870967741935,Charleroi
93,2043-01-01,19.3870967741936,19.0064516129032,21.0322580645161,23.5967741935484,23.6516129032258,25.7451612903226,15.658064516129,14.6677419354839,16.8870967741936,Charleroi
94,2044-01-01,18.6870967741936,19.4064516129032,18.8322580645161,23.3967741935484,24.1516129032258,23.3451612903226,14.258064516129,14.9677419354839,14.4870967741935,Charleroi
95,2045-01-01,19.1870967741936,18.5064516129032,18.9322580645161,23.3967741935484,23.4516129032258,23.3451612903226,15.558064516129,13.8677419354839,14.8870967741935,Charleroi
96,2046-01-01,19.3870967741936,19.5064516129032,19.1322580645161,24.1967741935484,24.0516129032258,23.5451612903226,14.558064516129,15.3677419354839,15.1870967741935,Charleroi
