,centroid_lon,centroid_lat,raster_value,geometry,index_right,ogc_fid,cd_sector,tx_sector_descr_nl,tx_sector_descr_fr,tx_sector_descr_de,cd_sub_munty,tx_sub_munty_nl,tx_sub_munty_fr,tx_munty_dstr,cd_munty_refnis,tx_munty_descr_nl,tx_munty_descr_fr,tx_munty_descr_de,cd_dstr_refnis,tx_adm_dstr_descr_nl,tx_adm_dstr_descr_fr,tx_adm_dstr_descr_de,cd_prov_refnis,tx_prov_descr_nl,tx_prov_descr_fr,tx_prov_descr_de,cd_rgn_refnis,tx_rgn_descr_nl,tx_rgn_descr_fr,tx_rgn_descr_de,cd_country,cd_nuts_lvl1,cd_nuts_lvl2,cd_nuts_lvl3,ms_area_ha,ms_perimeter_m,dt_situation
320,5.543503618301566,50.682371060792974,33.197696685791016,POINT (5.543503618301566 50.682371060792974),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
321,5.545300248869806,50.68237106079298,33.83384704589844,POINT (5.545300248869806 50.68237106079298),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
453,5.539910357165089,50.68123266782838,33.34210586547852,POINT (5.539910357165089 50.68123266782838),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
454,5.5417069877333285,50.68123266782839,34.45820617675781,POINT (5.5417069877333285 50.68123266782839),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
455,5.543503618301566,50.68123266782838,34.19160079956055,POINT (5.543503618301566 50.68123266782838),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
456,5.545300248869806,50.68123266782839,34.774715423583984,POINT (5.545300248869806 50.68123266782839),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
588,5.5399103571650885,50.6800942472473,33.84028244018555,POINT (5.5399103571650885 50.6800942472473),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
589,5.541706987733328,50.68009424724732,35.42413711547852,POINT (5.541706987733328 50.68009424724732),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
590,5.543503618301566,50.68009424724731,36.45455551147461,POINT (5.543503618301566 50.68009424724731),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
591,5.545300248869807,50.68009424724732,36.62955856323242,POINT (5.545300248869807 50.68009424724732),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
722,5.538113726596849,50.678955799049525,32.963134765625,POINT (5.538113726596849 50.678955799049525),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
723,5.5399103571650885,50.67895579904952,34.45915985107422,POINT (5.5399103571650885 50.67895579904952),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
724,5.541706987733327,50.678955799049525,36.38542556762695,POINT (5.541706987733327 50.678955799049525),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
725,5.543503618301567,50.678955799049525,36.99414825439453,POINT (5.543503618301567 50.678955799049525),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
857,5.538113726596849,50.67781732323479,34.686885833740234,POINT (5.538113726596849 50.67781732323479),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
858,5.5399103571650885,50.67781732323479,34.9432373046875,POINT (5.5399103571650885 50.67781732323479),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
859,5.541706987733327,50.6778173232348,35.66636276245117,POINT (5.541706987733327 50.6778173232348),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
860,5.543503618301567,50.67781732323479,35.633548736572266,POINT (5.543503618301567 50.67781732323479),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
992,5.5381137265968485,50.67667881980292,35.135284423828125,POINT (5.5381137265968485 50.67667881980292),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
993,5.539910357165088,50.67667881980293,34.75887680053711,POINT (5.539910357165088 50.67667881980293),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
994,5.541706987733328,50.67667881980294,34.78023910522461,POINT (5.541706987733328 50.67667881980294),174,13342,62063L02-,DUPIREUX,DUPIREUX,DUPIREUX,62063L,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,ROCOURT + PARTIE DE VOROUX-LEZ-LIERS,,62063,Luik,Liège,Lüttich,62000,Arrondissement Luik,Arrondissement de Liège,Bezirk Lüttich,60000,Provincie Luik,Province de Liège,Provinz Lüttich,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE33,BE332,58.0209401457,3613,2023-01-01
