,centroid_lon,centroid_lat,raster_value,geometry,index_right,ogc_fid,cd_sector,tx_sector_descr_nl,tx_sector_descr_fr,tx_sector_descr_de,cd_sub_munty,tx_sub_munty_nl,tx_sub_munty_fr,tx_munty_dstr,cd_munty_refnis,tx_munty_descr_nl,tx_munty_descr_fr,tx_munty_descr_de,cd_dstr_refnis,tx_adm_dstr_descr_nl,tx_adm_dstr_descr_fr,tx_adm_dstr_descr_de,cd_prov_refnis,tx_prov_descr_nl,tx_prov_descr_fr,tx_prov_descr_de,cd_rgn_refnis,tx_rgn_descr_nl,tx_rgn_descr_fr,tx_rgn_descr_de,cd_country,cd_nuts_lvl1,cd_nuts_lvl2,cd_nuts_lvl3,ms_area_ha,ms_perimeter_m,dt_situation
3211,4.452948863380468,50.488447369867096,38.00575256347656,POINT (4.452948863380468 50.488447369867096),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3212,4.454745493948706,50.488447369867096,36.89538192749024,POINT (4.454745493948706 50.488447369867096),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3213,4.456542124516945,50.488447369867096,35.023773193359375,POINT (4.456542124516945 50.488447369867096),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3383,4.451152232812229,50.487304278962846,37.8099479675293,POINT (4.451152232812229 50.487304278962846),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3384,4.452948863380469,50.487304278962846,36.73278427124024,POINT (4.452948863380469 50.487304278962846),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3385,4.454745493948706,50.487304278962846,34.77914047241211,POINT (4.454745493948706 50.487304278962846),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3555,4.4493556022439895,50.48616116040517,36.08506774902344,POINT (4.4493556022439895 50.48616116040517),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3556,4.451152232812228,50.48616116040517,37.390750885009766,POINT (4.451152232812228 50.48616116040517),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3557,4.452948863380468,50.48616116040516,33.48310089111328,POINT (4.452948863380468 50.48616116040516),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3558,4.454745493948706,50.48616116040517,32.38115692138672,POINT (4.454745493948706 50.48616116040517),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3726,4.445762341107511,50.485018014193855,33.35235977172852,POINT (4.445762341107511 50.485018014193855),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3727,4.44755897167575,50.48501801419385,33.94026184082031,POINT (4.44755897167575 50.48501801419385),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
